name,count,label
early this year,1,early_this_year
Avicii,1,avicii
many years,2,many_years
the years,2,the_years
Club & More,1,club__more
Frontier Tech,1,frontier_tech
Cruz,1,cruz
Aladdin,1,aladdin
2010-2011,1,20102011
Curtis,1,curtis
Bitcoin,1,bitcoin
2011,1,2011
these days,1,these_days
Facebook,7,facebook
Naza,1,naza
Microsoft,1,microsoft
an amazing year,1,an_amazing_year
a banner year,1,a_banner_year
like 10 years,1,like_10_years
Valium,1,valium
the end of the day,2,the_end_of_the_day
0,0,0
Revenue,1,revenue
Hunters,1,hunters
Panem,1,panem
Google,6,google
Maps,1,maps
Android,2,android
WhatsApp,1,whatsapp
50 200 billion dollar,1,50_200_billion_dollar
kinda,1,kinda
12-18 months later,1,1218_months_later
four to five years,1,four_to_five_years
every 6 months,1,every_6_months
Downstream,2,downstream
Anthony,1,anthony
Chris,1,chris
Cool,1,cool
Club,2,club
YouTube,2,youtube
Blake,3,blake
Saturday,1,saturday
Super Sonic,1,super_sonic
9 billion dollars,1,9_billion_dollars
next summer,1,next_summer
2022,1,2022
Amazon,1,amazon
Groupon,1,groupon
VP,1,vp
Lakers,1,lakers
Ocean,1,ocean
SAS,1,sas
two or so,1,two_or_so
three years,2,three_years
three months,1,three_months
Valley,3,valley
Distortion,1,distortion
Angel Delta,1,angel_delta
Venture,1,venture
Game Angel Investing,1,game_angel_investing
Angel,2,angel
PayPal,1,paypal
the early days,2,the_early_days
a billion dollars,2,a_billion_dollars
VC,1,vc
Foundry,1,foundry
Baseball Network,1,baseball_network
Brandon,1,brandon
Siri,2,siri
Angel Investors,1,angel_investors
Pick,1,pick
the seeds days,1,the_seeds_days
more than billion dollars,1,more_than_billion_dollars
the hours,2,the_hours
Lester,1,lester
BC,1,bc
2005,1,2005
Yelp,1,yelp
TripAdvisor,1,tripadvisor
SEO,1,seo
70809,1,70809
Mastery,1,mastery
Sadie,1,sadie
five years ago,2,five_years_ago
five years,4,five_years
Obamacare,1,obamacare
one day,1,one_day
Behavior,2,behavior
50 billion dollar,1,50_billion_dollar
10 years,3,10_years
Satoshi Nakamoto,1,satoshi_nakamoto
US,1,us
10-15 years,1,1015_years
Horizon,1,horizon
hundreds of trillions of dollars,1,hundreds_of_trillions_of_dollars
Apollo,1,apollo
Anna,1,anna
State,1,state
Laugh Your Butt,1,laugh_your_butt
2 years,1,2_years
under 10 years ago,1,under_10_years_ago
Instagram,1,instagram
10 years ago,1,10_years_ago
somewhere more than two years from now,1,somewhere_more_than_two_years_from_now
less than 10 years from now,1,less_than_10_years_from_now
Pivot,1,pivot
kygo,1,kygo
XYZ,1,xyz
Jason,1,jason
2,5,2
every day,1,every_day
multibillion-dollar,2,multibilliondollar
12 months,1,12_months
Yea,1,yea
Justified,1,justified
18 months,1,18_months
60 hours are 80 hours,1,60_hours_are_80_hours
a hundred hours,1,a_hundred_hours
many hours,1,many_hours
6 months,2,6_months
4 minute mile,1,4_minute_mile
four-minute,1,fourminute
Sprint Pace,1,sprint_pace
Paces,1,paces
Sprint,1,sprint
a decade,1,a_decade
Vince,1,vince
a couple of years,1,a_couple_of_years
the last 30 years,1,the_last_30_years
Excel,1,excel
the next three years,1,the_next_three_years
the United States,1,the_united_states
Dalton Trump,1,dalton_trump
World War II,1,world_war_ii
"40 to $50,000",1,40_to_50000
Ohio,1,ohio
"90,000",0,90000
San Francisco,1,san_francisco
four million dollars,1,four_million_dollars
years,9,years
1982 thousand,1,1982_thousand
the year 2000,1,the_year_2000
India,1,india
China,1,china
Korea,1,korea
the last 5 years or so,1,the_last_5_years_or_so
1982,1,1982
35,1,35
the year 2017,1,the_year_2017
the year 2000 to 2001,1,the_year_2000_to_2001
2008,1,2008
Afghanistan,1,afghanistan
Americans,1,americans
twenty years,1,twenty_years
Sam Walton,1,sam_walton
Thursday,1,thursday
Elon Musk,1,elon_musk
the 1st,1,the_1st
10x,1,10x
Sears,1,sears
Beth,1,beth
Sequoia Facebook,1,sequoia_facebook
Tesla,1,tesla
Camp,1,camp
"400,000",0,400000
Costco,2,costco
Earth,1,earth
La,1,la
Moon,1,moon
Boom,1,boom
Supersonic,2,supersonic
Stanford,1,stanford
hours,3,hours
office hours,1,office_hours
Lake am,1,lake_am
an hour,2,an_hour
a hundred million dollars,1,a_hundred_million_dollars
another half hour,1,another_half_hour
